latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
-34.62339,148.52435,353.86,0.4,0.44,2026-04-09,428,N,VIIRS,n,2,299.94,7.08,D,0
-34.61753,148.53171,339.61,0.4,0.44,2026-04-09,428,N,VIIRS,n,2,298.61,4.06,D,0
-34.61513,147.23213,334.94,0.52,0.42,2026-04-09,428,N,VIIRS,n,2,303.74,15.75,D,0
-34.61511,147.23376,347.8,0.52,0.42,2026-04-09,428,N,VIIRS,n,2,303.58,66.05,D,0
-34.61401,147.23787,339.89,0.52,0.42,2026-04-09,428,N,VIIRS,n,2,298.69,27.13,D,0
-34.6102,147.23676,348.95,0.52,0.42,2026-04-09,428,N,VIIRS,n,2,302.07,40.66,D,0
-34.61014,147.23839,342.36,0.52,0.42,2026-04-09,428,N,VIIRS,n,2,295.3,66.05,D,0
-34.51302,148.52864,344.65,0.4,0.44,2026-04-09,428,N,VIIRS,n,2,302.73,11.3,D,0
-34.50435,148.44673,367,0.4,0.44,2026-04-09,428,N,VIIRS,h,2,303.28,7.52,D,0
-34.50029,148.44556,348.76,0.4,0.44,2026-04-09,428,N,VIIRS,n,2,300.9,6.68,D,0
-34.48758,148.39218,340.63,0.4,0.44,2026-04-09,428,N,VIIRS,n,2,301.27,11.8,D,0
-34.48512,148.39514,341.34,0.4,0.44,2026-04-09,428,N,VIIRS,n,2,300.17,8.39,D,0
-34.46767,147.95474,336.74,0.57,0.43,2026-04-09,428,N,VIIRS,n,2,302.48,6.21,D,0
-34.46376,147.95245,335.98,0.57,0.43,2026-04-09,428,N,VIIRS,n,2,303.12,7.59,D,0
-34.4637,147.9536,338.27,0.57,0.43,2026-04-09,428,N,VIIRS,n,2,303.54,6.21,D,0
-34.46252,147.9586,348.15,0.57,0.43,2026-04-09,428,N,VIIRS,n,2,303.65,13.61,D,0
-34.46243,147.95972,346.92,0.57,0.43,2026-04-09,428,N,VIIRS,n,2,303.76,6.21,D,0
-34.46207,150.88562,350.47,0.53,0.5,2026-04-09,428,N,VIIRS,n,2,299.89,8.76,D,2
-34.34992,148.38371,355.23,0.4,0.44,2026-04-09,428,N,VIIRS,n,2,301.47,14.12,D,0
-34.34513,146.11723,336.61,0.47,0.4,2026-04-09,428,N,VIIRS,n,2,305.89,3.83,D,0
-34.29324,147.90056,345.06,0.57,0.43,2026-04-09,428,N,VIIRS,n,2,303.21,10.49,D,0
-34.2839,148.15125,355.33,0.39,0.44,2026-04-09,428,N,VIIRS,n,2,304.84,11.52,D,0
-34.28302,148.15549,341.06,0.39,0.44,2026-04-09,428,N,VIIRS,n,2,298.14,11.52,D,0
-34.25547,147.79651,336.85,0.56,0.43,2026-04-09,428,N,VIIRS,n,2,300.7,8.82,D,0
-34.25153,147.79535,339.54,0.56,0.43,2026-04-09,428,N,VIIRS,n,2,305.25,8.82,D,0
-34.23378,146.8427,338.78,0.51,0.41,2026-04-09,428,N,VIIRS,n,2,305.13,9.44,D,0
-34.22788,146.8526,334.13,0.51,0.41,2026-04-09,428,N,VIIRS,l,2,304.25,8.69,D,0
-34.21793,148.04346,331.89,0.39,0.44,2026-04-09,428,N,VIIRS,n,2,301.51,4.21,D,0
-34.21393,148.04228,353.69,0.39,0.44,2026-04-09,428,N,VIIRS,n,2,308.89,19.45,D,0
-34.21307,148.04649,339.41,0.39,0.44,2026-04-09,428,N,VIIRS,n,2,296.17,19.45,D,0
-34.2122,148.05075,330.64,0.39,0.44,2026-04-09,428,N,VIIRS,n,2,294.57,5.06,D,0
